,location,latitude,longitude,index,year
41,"San Salvador, El Salvador",13.6989939,-89.1914249,13.12981664,1850
42,"Malabo, Equatorial Guinea",3.741877,8.7740663,28.41433867,1850
43,"Asmara, Eritrea",15.3389667,38.9326763,18.13397463,1850
44,"Addis Ababa, Ethiopia",9.0358287,38.7524127,5.349987295,1850
45,"Suva, Fiji",-18.1415884,178.4421662,6.015964744,1850
46,"Paris, France",48.8534951,2.3483915,16.66075567,1850
47,"Libreville, Gabon",0.4086518,9.4418849,17.77690075,1850
48,"Tbilisi, Georgia",41.6934591,44.8014495,10.82750529,1850
49,"Berlin, Germany",52.510885,13.3989367,16.79248306,1850
50,"Accra, Ghana",5.5571096,-0.2012376,20.48045823,1850
51,"Athens, Greece",37.9887791133275,23.7191086388293,10.30283788,1850
52,"Guatemala City, Guatemala",14.6416142,-90.5132836,10.68417842,1850
53,"Conakry, Guinea",9.5170602,-13.6998434,25.00676426,1850
54,"Bissau, Guinea-Bissau",11.87018055,-15.6077045647727,29.25389536,1850
55,"Port-au-Prince, Haiti",18.547327,-72.3395928,9.480559616,1850
56,"Tegucigalpa, Honduras",14.1057433,-87.2040052,21.53910908,1850
57,"Budapest, Hungary",47.48138955,19.1460941269125,30.02472988,1850
58,"Delhi, India",28.6273928,77.1716954,48.68492993,1850
59,"Jakarta, Indonesia",-6.175247,106.8270488,7.044425356,1850
60,"Tehran, Iran",35.6892523,51.3896004,17.10450764,1850
61,"Baghdad, Iraq",33.3061701,44.3872213,27.62921651,1850
62,"Dublin, Ireland",53.3493795,-6.2605593,9.743348257,1850
63,"Jerusalem, Israel",31.7788242,35.2257626,10.28570752,1850
64,"Rome, Italy",41.8933203,12.4829321,12.23573575,1850
65,"Tokyo, Japan",35.6821936,139.762221,7.303037678,1850
66,"Amman, Jordan",31.9515694,35.9239625,13.88829292,1850
67,"Temirtau, Kazakhstan",50.0587825,72.9535681,10.56137177,1850
68,"Astana, Kazakhstan",51.1282205,71.4306682,8.899362338,1850
69,"Nairobi, Kenya",-1.30261485,36.8288420181373,9.035059924,1850
70,"Kuwait City, Kuwait",29.3796532,47.9734174,34.28416321,1850
71,"Bishkek, Kyrgyzstan",42.8777895,74.6066926,15.72271217,1850
72,"Vientiane, Laos",17.9640988,102.6133707,31.01190591,1850
73,"Riga, Latvia",56.9493977,24.1051846,16.62453654,1850
74,"Monrovia, Liberia",6.328034,-10.797788,13.86924026,1850
75,"Tripoli, Libya",32.896672,13.1777923,17.07584439,1850
76,"Vilnius, Lithuania",54.6870458,25.2829111,10.36923848,1850
77,"Luxembourg, Luxembourg",49.6112768,6.129799,14.60961774,1850
78,"Antananarivo, Madagascar",-18.9100122,47.5255809,10.95352133,1850
79,"Lilongwe, Malawi",-13.9875107,33.768144,13.70223898,1850
80,"Kuala Lumpur, Malaysia",3.1516964,101.6942371,4.788056049,1850
81,"Bamako, Mali",12.61326555,-7.9847391362413,28.51683231,1850
82,"Valletta, Malta",35.8989818,14.5136759,9.732592605,1850
83,"Nouakchott, Mauritania",18.0618918,-15.9311481578329,54.83029493,1850
84,"Port Louis, Mauritius",-20.1624522,57.5028044,13.54924974,1850
85,"Mexico City, Mexico",19.4326296,-99.1331785,7.986869719,1850
86,"Chisinau, Moldova",47.0245117,28.8322923,15.08990152,1850
87,"Ulaanbaatar, Mongolia",47.94097405,106.917963752256,31.88968193,1850
88,"Podgorica, Montenegro",42.4415238,19.2621081,11.31035878,1850
89,"Rabat, Morocco",34.02236,-6.8340222,8.037269392,1850
90,"Maputo, Mozambique",-25.966213,32.56745,9.430920246,1850
91,"Windhoek, Namibia",-22.5776104,17.0772739,9.679280627,1850
92,"Kathmandu, Nepal",27.708317,85.3205817,16.41545774,1850
93,"Amsterdam, Netherlands",52.3730796,4.8924534,15.22023248,1850
94,"Wellington, New Zealand",-41.2887953,174.7772114,5.1135092,1850
95,"Managua, Nicaragua",12.1544035,-86.2737642,13.87951882,1850
96,"Niamey, Niger",13.524834,2.109823,40.06037585,1850
97,"Abuja, Nigeria",9.0643305,7.4892974,38.91997327,1850
98,"Pyongyang, North Korea",39.0167979,125.7473609,15.2591535,1850
99,"Skopje, North Macedonia",41.9961816,21.4319213,11.71165991,1850
100,"Oslo, Norway",59.9133301,10.7389701,6.783076241,1850
101,"Muscat, Oman",23.5882019,58.3829448,28.49328248,1850
102,"Islamabad, Pakistan",33.6938118,73.0651511,19.38299556,1850
103,"Panama City, Panama",8.6671353550533,-80.8169594275597,9.28060336,1850
104,"Asunción, Paraguay",-25.2800459,-57.6343814,12.7433874,1850
105,"Lima, Peru",-12.0621065,-77.0365256,6.640109743,1850
106,"Manila, Philippines",14.5906346,120.9799964,11.79861686,1850
107,"Warsaw, Poland",52.2337172,21.0714322356365,17.04314414,1850
108,"Lisbon, Portugal",38.7077507,-9.1365919,10.19859219,1850
109,"Doha, Qatar",24.73677015,81.4466022001494,28.61885282,1850
110,"Bucharest, Romania",44.4361414,26.1027202,14.75350506,1850
111,"Moscow, Russia",55.7505412,37.6174782,22.1559643,1850
112,"Kigali, Rwanda",-1.8859597,30.1296751,14.58274153,1850
113,"Apia, Samoa",-13.8344639,-171.7649144,4.386375946,1850
114,"San Marino, San Marino",43.9458623,12.458306,11.51442804,1850
115,"São Tomé, São Tomé and Príncipe",0.3389242,6.7313031,12.29671092,1850
116,"Riyadh, Saudi Arabia",24.638916,46.7160104,57.93804476,1850
117,"Dakar, Senegal",14.693425,-17.447938,35.28393182,1850
118,"Belgrade, Serbia",44.8178131,20.4568974,7.903238134,1850
119,"Victoria, Seychelles",-36.5986096,144.6780052,7.817674822,1850
120,"Freetown, Sierra Leone",8.479004,-13.26795,19.38773209,1850
121,"Singapore, Singapore",1.357107,103.8194992,6.415700088,1850
122,"Bratislava, Slovakia",48.1516988,17.1093063,23.44102848,1850
123,"Ljubljana, Slovenia",46.0500268,14.5069289,11.02481111,1850
124,"Honiara, Solomon Islands",-9.43779755,159.962417478605,6.51611447,1850
125,"Mogadishu, Somalia",2.0349312,45.3419183,9.57968588,1850
126,"Pretoria, South Africa",-25.7459277,28.1879101,11.96584916,1850
127,"Seoul, South Korea",37.5666791,126.9782914,8.696628436,1850
128,"Juba, South Sudan",4.8459246,31.5959173,26.59634566,1850
129,"Madrid, Spain",40.4167047,-3.7035825,4.797538411,1850
130,"Colombo, Sri Lanka",6.9388614,79.8542005,8.670063283,1850
131,"Khartoum, Sudan",15.5635972,32.5349123,35.58448924,1850
132,"Paramaribo, Suriname",5.8247628,-55.1703941,14.97550791,1850
133,"Stockholm, Sweden",59.3251172,18.0710935,4.993147436,1850
134,"Bern, Switzerland",46.9484742,7.4521749,14.77816932,1850
135,"Damascus, Syria",33.5145227857709,36.2904335592578,12.91141699,1850
136,"Taipei, Taiwan",25.0375198,121.5636796,7.184475529,1850
137,"Dushanbe, Tajikistan",38.5856947,68.7603746751885,17.68633198,1850
138,"Dar es Salaam, Tanzania",-6.8160837,39.2803583,11.10675672,1850
139,"Bangkok, Thailand",13.7524938,100.4935089,10.5024275,1850
140,"Lomé, Togo",6.15803455,1.25168237324663,29.33279314,1850
141,"Nukuʻalofa, Tonga",-21.1343401,-175.201808,4.486943321,1850
142,"Tunis, Tunisia",36.8002068,10.1857757,12.84447604,1850
143,"Ankara, Turkey",39.7160439,32.7059948,8.352131343,1850
144,"Ashgabat, Turkmenistan",37.9404648,58.3823487,31.9028311,1850
145,"Kampala, Uganda",0.3177137,32.5813539,18.56590554,1850
146,"Kyiv, Ukraine",50.4500336,30.5241361,16.08523228,1850
147,"Abu Dhabi, UAE",24.4538352,54.3774014,20.47262208,1850
148,"London, United Kingdom",51.4893335,-0.144055084527687,31.59813741,1850
149,"Washington, D.C., USA",38.9240943816741,-77.0091011073296,16.14918576,1850
150,"Tashkent, Uzbekistan",41.3123363,69.2787079,20.51117254,1850
151,"Port Vila, Vanuatu",-17.7414972,168.3150163,6.768958732,1850
152,"Vatican City, Vatican City",41.903411,12.4528527,11.88264187,1850
153,"Caracas, Venezuela",10.5060934,-66.9146008,14.89448996,1850
154,"Hanoi, Vietnam",21.0283334,105.854041,8.707878144,1850
155,"Sana'a, Yemen",15.3538569,44.2058841,18.81422197,1850
156,"Lusaka, Zambia",-15.4163395,28.2818414,16.48006713,1850
157,"Harare, Zimbabwe",-17.8567035,31.0601584,14.65042246,1850
158,"Leeds, United Kingdom",53.7974185,-1.5437941,28.49982882,1850
159,"Exeter, United Kingdom",50.7256138,-3.5269209,16.68589126,1850
160,"Edinburgh, United Kingdom",55.9533456,-3.1883749,16.71530692,1850
161,"Los Angeles, USA",34.0536909,-118.242766,9.166269861,1850
162,"Nanjing, China",32.0438284,118.7788631,15.1952376,1850
163,"Shanghai, China",31.2312707,121.4700152,12.51357942,1850
164,"Chennai, India",13.0836939,80.270186,12.83178361,1850
165,"Ahmedabad, India",23.0215374,72.5800568,29.83780889,1850
166,"Fairbanks, USA",64.837845,-147.716675,22.85056576,1850
167,"Birmingham, UK",52.4796992,-1.9026911,25.3094511,1850
168,"São Paulo, Brazil",-23.5506507,-46.6333824,2.530579822,1850
169,"Singapore, Singapore.1",1.357107,103.8194992,6.626179582,1850
170,"Cape Town, South Africa",-33.928992,18.417396,3.817879948,1850
171,"Birmingham, United Kingdom",52.4796992,-1.9026911,25.3094511,1850
172,"Cardiff, United Kingdom",51.4816546,-3.1791934,37.75340827,1850
173,"Belfast, United Kingdom",54.596391,-5.9301829,12.13465474,1850
174,"Reykjavík, Iceland",64.145981,-21.9422367,3.897538824,1850
175,"Yakutsk, Russia",62.0274078,129.7319787,5.457011572,1850
176,"Kabul, Afghanistan",34.5260109,69.1776838,18.07170028,1851
177,"Tirana, Albania",41.3281482,19.8184435,9.965611329,1851
178,"Algiers, Algeria",36.7729309,3.0588291,6.388587014,1851
179,"Luanda, Angola",-8.8272699,13.2439512,19.85026973,1851
180,"Buenos Aires, Argentina",-34.6073387,-58.4432852,5.745548289,1851
181,"Yerevan, Armenia",40.1777112,44.5126233,14.95650663,1851
182,"Sydney, Australia",-33.8698439,151.2082848,3.045166729,1851
183,"Canberra, Australia",-35.2975906,149.1012676,3.938161861,1851
184,"Baku, Azerbaijan",40.3755885,49.8328009,23.08551342,1851
185,"Manama, Bahrain",-8.79691,125.45785,26.31429921,1851
186,"Dhaka, Bangladesh",23.7644025,90.389015,30.21707975,1851
187,"Minsk, Belarus",53.9024716,27.5618225,13.39787221,1851
188,"Brussels, Belgium",50.8550018,4.35123337611662,17.53505964,1851
189,"Cotonou, Benin",6.3676953,2.4252507,25.09141035,1851
190,"Thimphu, Bhutan",27.4713546,89.6336729,10.71473631,1851
191,"La Paz, Bolivia",-16.4955455,-68.1336229,12.11119827,1851
192,"Gaborone, Botswana",-24.6581357,25.9088474,8.685680573,1851
193,"Brasília, Brazil",-10.3333333,-53.2,4.2111276,1851
194,"Sofia, Bulgaria",-15.2538402,48.2562163,12.96645428,1851
195,"Ouagadougou, Burkina Faso",12.3681873,-1.5270944,44.49807946,1851
196,"Bujumbura, Burundi",-3.3638125,29.3675028,16.9888218,1851
197,"Phnom Penh, Cambodia",11.568271,104.9224426,26.56313302,1851
198,"Yaoundé, Cameroon",3.8689867,11.5213344,37.99433314,1851
199,"Ottawa, Canada",45.4110870626566,-75.7083256476122,6.774227194,1851
200,"Bangui, CAR",4.3635118,18.5835913,33.99192837,1851
201,"N'Djaména, Chad",12.1191543,15.0502758,50.44844961,1851
202,"Santiago, Chile",-33.4377756,-70.6504502,4.174136839,1851
203,"Hangzhou, China",30.2489634,120.2052342,14.23920259,1851
204,"Beijing, China",40.190632,116.412144,11.66384108,1851
205,"Bogotá, Colombia",4.6533816,-74.0836333,7.124986196,1851
206,"Brazzaville, Congo",-4.2694407,15.2712256,35.53276003,1851
207,"San José, Costa Rica",9.9325427,-84.0795782,13.05356898,1851
208,"Abidjan, Côte d'Ivoire",5.320357,-4.016107,16.92029567,1851
209,"Zagreb, Croatia",45.8130967,15.9772795,11.67673562,1851
210,"Havana, Cuba",23.135305,-82.3589631,5.61170074,1851
211,"Nicosia, Cyprus",35.1746503,33.3638783,9.92762307,1851
212,"Prague, Czechia",50.0874654,14.4212535,17.80524536,1851
213,"Kinshasa, DRC",-4.3217055,15.3125974,34.91906572,1851
214,"Copenhagen, Denmark",55.6867243,12.5700724,10.48796405,1851
215,"Djibouti, Djibouti",11.8145966,42.8453061,30.95956835,1851
216,"Cairo, Egypt",30.0443879,31.2357257,18.26149453,1851
217,"San Salvador, El Salvador",13.6989939,-89.1914249,11.82116067,1851
218,"Malabo, Equatorial Guinea",3.741877,8.7740663,34.44066884,1851
219,"Asmara, Eritrea",15.3389667,38.9326763,18.19705912,1851
220,"Addis Ababa, Ethiopia",9.0358287,38.7524127,4.986853679,1851
221,"Suva, Fiji",-18.1415884,178.4421662,5.906062097,1851
222,"Paris, France",48.8534951,2.3483915,17.02955811,1851
223,"Libreville, Gabon",0.4086518,9.4418849,19.61112625,1851
224,"Tbilisi, Georgia",41.6934591,44.8014495,11.59365469,1851
225,"Berlin, Germany",52.510885,13.3989367,16.50559123,1851
226,"Accra, Ghana",5.5571096,-0.2012376,24.10972732,1851
227,"Athens, Greece",37.9887791133275,23.7191086388293,9.43205386,1851
228,"Guatemala City, Guatemala",14.6416142,-90.5132836,10.12896669,1851
229,"Conakry, Guinea",9.5170602,-13.6998434,27.55824847,1851
230,"Bissau, Guinea-Bissau",11.87018055,-15.6077045647727,30.00580786,1851
231,"Port-au-Prince, Haiti",18.547327,-72.3395928,9.872301855,1851
232,"Tegucigalpa, Honduras",14.1057433,-87.2040052,19.72400844,1851
233,"Budapest, Hungary",47.48138955,19.1460941269125,26.57677125,1851
234,"Delhi, India",28.6273928,77.1716954,47.70327749,1851
235,"Jakarta, Indonesia",-6.175247,106.8270488,7.060300557,1851
236,"Tehran, Iran",35.6892523,51.3896004,20.22967694,1851
237,"Baghdad, Iraq",33.3061701,44.3872213,27.98457637,1851
238,"Dublin, Ireland",53.3493795,-6.2605593,9.856417789,1851
239,"Jerusalem, Israel",31.7788242,35.2257626,9.554554324,1851
240,"Rome, Italy",41.8933203,12.4829321,12.4942369,1851
241,"Tokyo, Japan",35.6821936,139.762221,7.028328776,1851
242,"Amman, Jordan",31.9515694,35.9239625,12.90380164,1851
243,"Temirtau, Kazakhstan",50.0587825,72.9535681,12.03421411,1851
244,"Astana, Kazakhstan",51.1282205,71.4306682,10.45813879,1851
245,"Nairobi, Kenya",-1.30261485,36.8288420181373,9.044950074,1851
246,"Kuwait City, Kuwait",29.3796532,47.9734174,35.27766693,1851
247,"Bishkek, Kyrgyzstan",42.8777895,74.6066926,18.38023338,1851
248,"Vientiane, Laos",17.9640988,102.6133707,32.04550673,1851
249,"Riga, Latvia",56.9493977,24.1051846,16.37617304,1851
250,"Monrovia, Liberia",6.328034,-10.797788,16.81586089,1851
251,"Tripoli, Libya",32.896672,13.1777923,16.8709682,1851
252,"Vilnius, Lithuania",54.6870458,25.2829111,10.17375625,1851
253,"Luxembourg, Luxembourg",49.6112768,6.129799,15.12783947,1851
254,"Antananarivo, Madagascar",-18.9100122,47.5255809,11.26549447,1851
255,"Lilongwe, Malawi",-13.9875107,33.768144,11.83637958,1851
256,"Kuala Lumpur, Malaysia",3.1516964,101.6942371,4.718833571,1851
257,"Bamako, Mali",12.61326555,-7.9847391362413,30.08873058,1851
258,"Valletta, Malta",35.8989818,14.5136759,9.858330223,1851
259,"Nouakchott, Mauritania",18.0618918,-15.9311481578329,59.94618305,1851
260,"Port Louis, Mauritius",-20.1624522,57.5028044,13.63820584,1851
261,"Mexico City, Mexico",19.4326296,-99.1331785,7.858343365,1851
262,"Chisinau, Moldova",47.0245117,28.8322923,15.06595359,1851
263,"Ulaanbaatar, Mongolia",47.94097405,106.917963752256,30.64862405,1851
264,"Podgorica, Montenegro",42.4415238,19.2621081,10.97672681,1851
265,"Rabat, Morocco",34.02236,-6.8340222,8.804494857,1851
266,"Maputo, Mozambique",-25.966213,32.56745,9.918726001,1851
267,"Windhoek, Namibia",-22.5776104,17.0772739,10.43494077,1851
268,"Kathmandu, Nepal",27.708317,85.3205817,15.51376292,1851
269,"Amsterdam, Netherlands",52.3730796,4.8924534,15.64016411,1851
270,"Wellington, New Zealand",-41.2887953,174.7772114,5.36776461,1851
271,"Managua, Nicaragua",12.1544035,-86.2737642,12.74306479,1851
272,"Niamey, Niger",13.524834,2.109823,44.56256912,1851
273,"Abuja, Nigeria",9.0643305,7.4892974,40.786148,1851
274,"Pyongyang, North Korea",39.0167979,125.7473609,14.65903963,1851
275,"Skopje, North Macedonia",41.9961816,21.4319213,11.02592214,1851
276,"Oslo, Norway",59.9133301,10.7389701,7.119682945,1851
277,"Muscat, Oman",23.5882019,58.3829448,28.80861768,1851
278,"Islamabad, Pakistan",33.6938118,73.0651511,19.99447263,1851
279,"Panama City, Panama",8.6671353550533,-80.8169594275597,9.751305224,1851
280,"Asunción, Paraguay",-25.2800459,-57.6343814,12.10793165,1851
281,"Lima, Peru",-12.0621065,-77.0365256,6.599933174,1851
282,"Manila, Philippines",14.5906346,120.9799964,11.25061988,1851
283,"Warsaw, Poland",52.2337172,21.0714322356365,16.27766859,1851
284,"Lisbon, Portugal",38.7077507,-9.1365919,10.58517434,1851
285,"Doha, Qatar",24.73677015,81.4466022001494,31.20800677,1851
286,"Bucharest, Romania",44.4361414,26.1027202,13.92605231,1851
287,"Moscow, Russia",55.7505412,37.6174782,23.18449101,1851
288,"Kigali, Rwanda",-1.8859597,30.1296751,15.11454692,1851
289,"Apia, Samoa",-13.8344639,-171.7649144,4.402042287,1851
290,"San Marino, San Marino",43.9458623,12.458306,11.66071603,1851
291,"São Tomé, São Tomé and Príncipe",0.3389242,6.7313031,14.17922499,1851
292,"Riyadh, Saudi Arabia",24.638916,46.7160104,59.65433885,1851
293,"Dakar, Senegal",14.693425,-17.447938,38.04431644,1851
294,"Belgrade, Serbia",44.8178131,20.4568974,7.324320329,1851
295,"Victoria, Seychelles",-36.5986096,144.6780052,7.671125191,1851
296,"Freetown, Sierra Leone",8.479004,-13.26795,22.06485661,1851
297,"Singapore, Singapore",1.357107,103.8194992,6.337887076,1851
298,"Bratislava, Slovakia",48.1516988,17.1093063,20.81753855,1851
299,"Ljubljana, Slovenia",46.0500268,14.5069289,10.47824472,1851
300,"Honiara, Solomon Islands",-9.43779755,159.962417478605,6.157446509,1851
301,"Mogadishu, Somalia",2.0349312,45.3419183,9.917024252,1851
302,"Pretoria, South Africa",-25.7459277,28.1879101,13.04388296,1851
303,"Seoul, South Korea",37.5666791,126.9782914,8.822224241,1851
304,"Juba, South Sudan",4.8459246,31.5959173,25.05611981,1851
305,"Madrid, Spain",40.4167047,-3.7035825,5.762748724,1851
306,"Colombo, Sri Lanka",6.9388614,79.8542005,8.387733628,1851
307,"Khartoum, Sudan",15.5635972,32.5349123,35.82344909,1851
308,"Paramaribo, Suriname",5.8247628,-55.1703941,16.1952961,1851
309,"Stockholm, Sweden",59.3251172,18.0710935,5.118265349,1851
310,"Bern, Switzerland",46.9484742,7.4521749,15.89314196,1851
311,"Damascus, Syria",33.5145227857709,36.2904335592578,11.82042728,1851
312,"Taipei, Taiwan",25.0375198,121.5636796,6.820972198,1851
313,"Dushanbe, Tajikistan",38.5856947,68.7603746751885,19.34425891,1851
314,"Dar es Salaam, Tanzania",-6.8160837,39.2803583,11.12282397,1851
315,"Bangkok, Thailand",13.7524938,100.4935089,10.52931041,1851
316,"Lomé, Togo",6.15803455,1.25168237324663,34.09070874,1851
317,"Nukuʻalofa, Tonga",-21.1343401,-175.201808,4.372980209,1851
318,"Tunis, Tunisia",36.8002068,10.1857757,12.80663012,1851
319,"Ankara, Turkey",39.7160439,32.7059948,6.993365587,1851
320,"Ashgabat, Turkmenistan",37.9404648,58.3823487,37.55034317,1851
321,"Kampala, Uganda",0.3177137,32.5813539,18.17175999,1851
322,"Kyiv, Ukraine",50.4500336,30.5241361,15.79978488,1851
323,"Abu Dhabi, UAE",24.4538352,54.3774014,22.28235884,1851
324,"London, United Kingdom",51.4893335,-0.144055084527687,31.7503324,1851
325,"Washington, D.C., USA",38.9240943816741,-77.0091011073296,17.01656944,1851
326,"Tashkent, Uzbekistan",41.3123363,69.2787079,23.31230792,1851
327,"Port Vila, Vanuatu",-17.7414972,168.3150163,6.68134057,1851
328,"Vatican City, Vatican City",41.903411,12.4528527,12.1351731,1851
329,"Caracas, Venezuela",10.5060934,-66.9146008,15.58276766,1851
330,"Hanoi, Vietnam",21.0283334,105.854041,8.590505729,1851
331,"Sana'a, Yemen",15.3538569,44.2058841,19.34306194,1851
332,"Lusaka, Zambia",-15.4163395,28.2818414,14.19430261,1851
333,"Harare, Zimbabwe",-17.8567035,31.0601584,12.9454714,1851
334,"Leeds, United Kingdom",53.7974185,-1.5437941,27.88966104,1851
335,"Exeter, United Kingdom",50.7256138,-3.5269209,17.01387398,1851
336,"Edinburgh, United Kingdom",55.9533456,-3.1883749,15.60677883,1851
337,"Los Angeles, USA",34.0536909,-118.242766,9.274181564,1851
338,"Nanjing, China",32.0438284,118.7788631,14.08545478,1851
339,"Shanghai, China",31.2312707,121.4700152,11.78345096,1851
340,"Chennai, India",13.0836939,80.270186,12.76142017,1851
341,"Ahmedabad, India",23.0215374,72.5800568,29.91410074,1851
342,"Fairbanks, USA",64.837845,-147.716675,22.46110851,1851
343,"Birmingham, UK",52.4796992,-1.9026911,24.84702088,1851
344,"São Paulo, Brazil",-23.5506507,-46.6333824,2.457452705,1851
345,"Singapore, Singapore.1",1.357107,103.8194992,6.544785151,1851
346,"Cape Town, South Africa",-33.928992,18.417396,3.919631033,1851
347,"Birmingham, United Kingdom",52.4796992,-1.9026911,24.84702088,1851
348,"Cardiff, United Kingdom",51.4816546,-3.1791934,37.84943703,1851
349,"Belfast, United Kingdom",54.596391,-5.9301829,11.83843421,1851
350,"Reykjavík, Iceland",64.145981,-21.9422367,4.449791384,1851
351,"Yakutsk, Russia",62.0274078,129.7319787,4.753669613,1851
352,"Kabul, Afghanistan",34.5260109,69.1776838,16.11890301,1852
353,"Tirana, Albania",41.3281482,19.8184435,10.59891015,1852
354,"Algiers, Algeria",36.7729309,3.0588291,6.504152733,1852
355,"Luanda, Angola",-8.8272699,13.2439512,17.95206966,1852
356,"Buenos Aires, Argentina",-34.6073387,-58.4432852,5.791609228,1852
357,"Yerevan, Armenia",40.1777112,44.5126233,15.06914192,1852
358,"Sydney, Australia",-33.8698439,151.2082848,3.336211616,1852
359,"Canberra, Australia",-35.2975906,149.1012676,4.328398649,1852
360,"Baku, Azerbaijan",40.3755885,49.8328009,20.73783764,1852
361,"Manama, Bahrain",-8.79691,125.45785,26.54519318,1852
362,"Dhaka, Bangladesh",23.7644025,90.389015,31.81262773,1852
363,"Minsk, Belarus",53.9024716,27.5618225,14.2791652,1852
364,"Brussels, Belgium",50.8550018,4.35123337611662,17.55082106,1852
365,"Cotonou, Benin",6.3676953,2.4252507,22.78308867,1852
366,"Thimphu, Bhutan",27.4713546,89.6336729,11.70454475,1852
367,"La Paz, Bolivia",-16.4955455,-68.1336229,12.60670812,1852
368,"Gaborone, Botswana",-24.6581357,25.9088474,8.484910727,1852
369,"Brasília, Brazil",-10.3333333,-53.2,4.241963654,1852
370,"Sofia, Bulgaria",-15.2538402,48.2562163,13.62567286,1852
371,"Ouagadougou, Burkina Faso",12.3681873,-1.5270944,44.37988743,1852
372,"Bujumbura, Burundi",-3.3638125,29.3675028,16.33259665,1852
373,"Phnom Penh, Cambodia",11.568271,104.9224426,27.79275049,1852
374,"Yaoundé, Cameroon",3.8689867,11.5213344,35.95696121,1852
375,"Ottawa, Canada",45.4110870626566,-75.7083256476122,6.782060794,1852
376,"Bangui, CAR",4.3635118,18.5835913,35.51958241,1852
377,"N'Djaména, Chad",12.1191543,15.0502758,48.67406901,1852
378,"Santiago, Chile",-33.4377756,-70.6504502,4.233285343,1852
379,"Hangzhou, China",30.2489634,120.2052342,14.40287564,1852
380,"Beijing, China",40.190632,116.412144,11.60421099,1852
381,"Bogotá, Colombia",4.6533816,-74.0836333,7.353165615,1852
382,"Brazzaville, Congo",-4.2694407,15.2712256,31.96444082,1852
383,"San José, Costa Rica",9.9325427,-84.0795782,12.88542287,1852
384,"Abidjan, Côte d'Ivoire",5.320357,-4.016107,16.2487203,1852
385,"Zagreb, Croatia",45.8130967,15.9772795,12.32730985,1852
386,"Havana, Cuba",23.135305,-82.3589631,5.417667744,1852
387,"Nicosia, Cyprus",35.1746503,33.3638783,10.34581575,1852
388,"Prague, Czechia",50.0874654,14.4212535,18.11568473,1852
389,"Kinshasa, DRC",-4.3217055,15.3125974,31.45281311,1852
390,"Copenhagen, Denmark",55.6867243,12.5700724,10.58775521,1852
391,"Djibouti, Djibouti",11.8145966,42.8453061,29.87189952,1852
